@relation HouseData

@attribute location numeric
@attribute size numeric
@attribute houseDirection numeric
@attribute balconyDirection numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute investor numeric
@attribute price numeric

@data
147,85,5,1,2,2,3,4.7
29,100,9,9,3,2,14,4.5
22,110,3,1,3,2,9,5.2
162,80,5,1,2,2,57,4
163,95,6,9,3,2,58,3.8
164,100,1,1,3,2,3,4.8
165,90,3,1,2,2,60,3.6
154,100,1,1,3,2,3,4.8
155,115,6,9,3,2,30,6.2
156,80,3,1,2,2,61,4.6
157,90,7,9,2,2,62,4.2
158,105,1,1,3,2,63,4.5
159,115,9,9,3,2,2,5.2
24,90,3,1,2,2,3,3.8
142,105,9,9,3,2,9,4.5
25,100,5,1,2,2,11,4
143,85,1,1,2,2,17,3.2
28,95,9,9,3,2,4,4
35,110,3,1,3,2,3,5.2
144,95,5,1,3,2,2,4.5
61,130,6,9,3,2,3,7
145,80,3,1,2,2,56,4.8
146,105,1,1,2,2,39,6
147,90,5,1,2,2,3,4.5
29,105,9,9,3,2,14,4.8
22,115,3,1,3,2,9,5.5
162,85,5,1,2,2,57,4.2
163,100,6,9,3,2,58,4.5
164,105,1,1,3,2,3,4.9
165,95,3,1,2,2,60,3.8
154,105,1,1,3,2,3,4.9
155,120,6,9,3,2,30,6.5
156,85,3,1,2,2,61,4.8
157,95,7,9,2,2,62,4.5
158,110,1,1,3,2,63,4.8
159,120,9,9,3,2,2,5.8
24,95,3,1,2,2,3,4
142,110,9,9,3,2,9,4.7
25,105,5,1,2,2,11,4.2
143,90,1,1,2,2,17,3.5
28,100,9,9,3,2,4,4.2
35,115,3,1,3,2,3,5.4
144,100,5,1,3,2,2,4.8
61,135,6,9,3,2,3,7.5
145,85,3,1,2,2,56,5.2
146,110,1,1,2,2,39,6.2
147,95,5,1,2,2,3,4.8
29,110,9,9,3,2,14,5
22,120,3,1,3,2,9,5.8
162,90,5,1,2,2,57,4.3
163,105,6,9,3,2,58,4.7
164,110,1,1,3,2,3,5.2
165,100,3,1,3,2,60,4
3,80.0,3,0,2,2,2,4.0
3,100.0,3,0,3,2,2,5.0
24,82.0,3,0,3,2,3,2.5
21,60.0,8,0,2,1,8,2.65
